Cidade,Cliente,ClienteId,CodigoPrimesys,Description,Estado,Location,Operadora,PrimeId,SerialName,Servico,Solucao,Tecnologia,TipoNegocio,TipoServico
Caruaru,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173224.0000000,SICR,,PE,,,SICR#SDWVELO-UC_CENTRO_PERNAMBUCRED#00,,SDWAN - VELOCLOUD,202165552,VELOCLOUD,FLEX,SDWAN
Caruaru,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173225.0000000,SICR,,PE,,,SICR#PAC-SDW-VELO-PAC_CENTRO_MEDICO#00,,SDWAN - VELOCLOUD,202165553,VELOCLOUD,FLEX,SDWAN
Crato,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173226.0000000,SICR,,CE,,,SICR#SDWVELO-UA_CRATO_SIC_CARIRI#00,,SDWAN - VELOCLOUD,202165554,VELOCLOUD,FLEX,SDWAN
Fortaleza,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173227.0000000,SICR,,CE,,,SICR#SDW-VELO-SIC_CEARA_SEDE#00,,SDWAN - VELOCLOUD,202165555,VELOCLOUD,FLEX,SDWAN
Fortaleza,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173228.0000000,SICR,,CE,,,SICR#SDW-VELO-PAC_PRAIA_IRACEMA#00,,SDWAN - VELOCLOUD,202165556,VELOCLOUD,FLEX,SDWAN
Fortaleza,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173077.0000000,SICR,,CE,,,SICR#SDW-VELO-SIC_COOPERJURIS_SEDE#00,,SDWAN - VELOCLOUD,202165557,VELOCLOUD,FLEX,SDWAN
Fortaleza,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173078.0000000,SICR,,CE,,,SICR#SDWVELO-UA_DOMLUIZ_SIC_FORT#00,,SDWAN - VELOCLOUD,202165558,VELOCLOUD,FLEX,SDWAN
Fortaleza,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173079.0000000,SICR,,CE,,,SICR#SDW-VELO-PAC_HRU_UC_FORTALEZA#00,,SDWAN - VELOCLOUD,202165559,VELOCLOUD,FLEX,SDWAN
Fortaleza,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173080.0000000,SICR,,CE,,,SICR#SDW-VELO-UA_WASHINGTON#00,,SDWAN - VELOCLOUD,202165560,VELOCLOUD,FLEX,SDWAN
Guarabira,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173271.0000000,SICR,,PB,,,SICR#SDW-VELO-PAC_GUARABIRA#00,,SDWAN - VELOCLOUD,202165620,VELOCLOUD,FLEX,SDWAN
Itapipoca,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173272.0000000,SICR,,CE,,,SICR#SDWVELO-PAC_ITAPIPOCA#00,,SDWAN - VELOCLOUD,202165621,VELOCLOUD,FLEX,SDWAN
João Pessoa,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173273.0000000,SICR,,PB,,,SICR#SDW-VELO-UA_PRAIA_SIC_EVOL#00,,SDWAN - VELOCLOUD,202165622,VELOCLOUD,FLEX,SDWAN
Maceió,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173275.0000000,SICR,,AL,,,SICR#SDW-VELO-UC_JURISCRED#00,,SDWAN - VELOCLOUD,202165624,VELOCLOUD,FLEX,SDWAN
Recife,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173276.0000000,SICR,,PE,,,SICR#SDW-VELO-UC_RECIFE_SEDE#00,,SDWAN - VELOCLOUD,202165625,VELOCLOUD,FLEX,SDWAN
Recife,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173277.0000000,SICR,,PE,,,SICR#SDWVELO-UA_CTBTU_PERNAMBUCRED#00,,SDWAN - VELOCLOUD,202165626,VELOCLOUD,FLEX,SDWAN
Russas,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173278.0000000,SICR,,CE,,,SICR#SDW-VELO-UA_RUSSAS#00,,SDWAN - VELOCLOUD,202165627,VELOCLOUD,FLEX,SDWAN
Serra Talhada,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173279.0000000,SICR,,PE,,,SICR#SDW-VELO-UA_SERRA#00,,SDWAN - VELOCLOUD,202165628,VELOCLOUD,FLEX,SDWAN
Barbalha,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173291.0000000,SICR,,CE,,,SICR#SDWVELO-PAC_BARBALHA#00,,SDWAN - VELOCLOUD,202165645,VELOCLOUD,FLEX,SDWAN
Brejo Santo,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173292.0000000,SICR,,CE,,,SICR#SDW-VELO-PAC_BREJO_SIC_CARIRI#00,,SDWAN - VELOCLOUD,202165646,VELOCLOUD,FLEX,SDWAN
Cabedelo,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173300.0000000,SICR,,PB,,,SICR#SDW-VELO-UA_INTERMARES_SIC_EVOL#00,,SDWAN - VELOCLOUD,202165647,VELOCLOUD,FLEX,SDWAN
