"_key",templateName,thresholdDuration,thresholdIndex,thresholdMessage,thresholdMetric,thresholdSeverityCode,thresholdType,thresholdValue
60ca2693b24da96913130814,"Template FORTINET",10,"vpn-016-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2693b24da96913130815,"Template FORTINET",10,"vpn-016-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da96913130816,"Template FORTINET",10,"vpn-016-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da96913130817,"Template FORTINET",10,"vpn-022-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da96913130818,"Template FORTINET",10,"vpn-022-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da96913130819,"Template FORTINET",10,"vpn-022-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da9691313081a,"Template FORTINET",10,"vpn-022-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da9691313081b,"Template FORTINET",10,"vpn-022-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da9691313081c,"Template FORTINET",10,"vpn-022-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da9691313081d,"Template FORTINET",10,"vpn-005-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da9691313081e,"Template FORTINET",10,"vpn-005-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da9691313081f,"Template FORTINET",10,"vpn-005-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da96913130820,"Template FORTINET",10,"vpn-005-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2694b24da96913130821,"Template FORTINET",10,"vpn-005-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da96913130822,"Template FORTINET",10,"vpn-005-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da96913130823,"Template FORTINET",10,"vpn-008-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da96913130824,"Template FORTINET",10,"vpn-008-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da96913130825,"Template FORTINET",10,"vpn-008-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da96913130826,"Template FORTINET",10,"vpn-008-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da96913130827,"Template FORTINET",10,"vpn-008-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da96913130828,"Template FORTINET",10,"vpn-008-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da96913130829,"Template FORTINET",10,"vpn-007-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da9691313082a,"Template FORTINET",10,"vpn-007-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da9691313082b,"Template FORTINET",10,"vpn-007-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da9691313082c,"Template FORTINET",10,"vpn-007-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da9691313082d,"Template FORTINET",10,"vpn-007-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da9691313082e,"Template FORTINET",10,"vpn-007-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da9691313082f,"Template FORTINET",10,"vpn-006-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2695b24da96913130830,"Template FORTINET",10,"vpn-006-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da96913130831,"Template FORTINET",10,"vpn-006-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da96913130832,"Template FORTINET",10,"vpn-006-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da96913130833,"Template FORTINET",10,"vpn-006-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da96913130834,"Template FORTINET",10,"vpn-006-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da96913130835,"Template FORTINET",10,"vpn-027-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da96913130836,"Template FORTINET",10,"vpn-027-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da96913130837,"Template FORTINET",10,"vpn-027-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da96913130838,"Template FORTINET",10,"vpn-027-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da96913130839,"Template FORTINET",10,"vpn-027-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da9691313083a,"Template FORTINET",10,"vpn-027-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da9691313083b,"Template FORTINET",10,"vpn-024-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da9691313083c,"Template FORTINET",10,"vpn-024-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da9691313083d,"Template FORTINET",10,"vpn-024-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2696b24da9691313083e,"Template FORTINET",10,"vpn-024-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da9691313083f,"Template FORTINET",10,"vpn-024-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da96913130840,"Template FORTINET",10,"vpn-024-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da96913130841,"Template FORTINET",10,"vpn-003-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da96913130842,"Template FORTINET",10,"vpn-003-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da96913130843,"Template FORTINET",10,"vpn-003-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da96913130844,"Template FORTINET",10,"vpn-003-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da96913130845,"Template FORTINET",10,"vpn-003-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da96913130846,"Template FORTINET",10,"vpn-003-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da96913130847,"Template FORTINET",10,"vpn-004-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da96913130848,"Template FORTINET",10,"vpn-004-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2697b24da96913130849,"Template FORTINET",10,"vpn-004-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
