metric,edgeId,linkId,solucao,interface,"alert_close_time","alert_time",id,impact,"last_alert_event",message,priority,status,triggers,update,urgency
"packet_loss_percent",948,,201922181,GE3,1631767804,1631742302,9f25aedf0bd4af8963178282cd8a3215,performance,,"A perda de pacotes da interface GE3 excedeu o valor de 1%",informational,CLOSED,,,low
"packet_loss_percent",968,,201922181,GE4,1631764203,1631736902,1d207fa444ae665c389c22860242ea27,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
"packet_loss_percent",939,,202059393,GE3,1631762402,1631703303,89328155b849c22dcecff8da6640e567,performance,,"A perda de pacotes da interface GE3 excedeu o valor de 1%",informational,CLOSED,,,low
latency,948,,201922181,GE3,1631759403,1631742302,002816e7f26199405c0a67f2ec0c6139,performance,,"A Latência da interface GE3 excedeu o valor de 100",informational,CLOSED,,,low
latency,948,,201922181,GE4,1631759403,1631740504,cdbf7ffe7de8e407204deb1cb770f510,performance,,"A Latência da interface GE4 excedeu o valor de 100",informational,CLOSED,,,low
linkState,1119,,202162232,GE3,1631755802,1631755203,c6ff3e95b2d6abc72348790f3784815c,high,,"Link GE3 entrou em status DISCONNECTED",high,CLOSED,,,high
"packet_loss_percent",1562,,202162232,GE4,1631752203,1631741703,f0383c5c5a04e321cc35673807426d13,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
latency,408,,20197441,GE4,1631751603,1631737202,521ef4ebb601105d272cead1e29c60c3,performance,,"A Latência da interface GE4 excedeu o valor de 100",informational,CLOSED,,,low
status,1270,,202059976,GE3,1631751304,1631751004,94bc3e305e12c09a7817defc21e4b0c7,high,,"Edge 1270 entrou em status DEGRADED",high,CLOSED,,,high
"packet_loss_percent",928,,202059393,GE4,1631749804,1631737202,1ac99566871aef688a1131bf5fe04611,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
linkState,948,,201922181,GE3,1631748905,1631748603,299c2e7423b023aa9d979a4923feb121,high,,"Link GE3 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,1006,,201922181,GE4,1631748603,1631742302,4660f2b84856d2fd1e727a4cbfbbb999,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
linkState,948,,201922181,GE3,1631746803,1631746502,a11137c7584a23bc9e29959d0c81ce39,high,,"Link GE3 entrou em status UNSTABLE",high,CLOSED,,,high
"packet_loss_percent",1574,,202162232,GE3,1631746203,1631735704,67fc0a47ba96ac9f8e9a8a4eaa3b4408,performance,,"A perda de pacotes da interface GE3 excedeu o valor de 1%",informational,CLOSED,,,low
"packet_loss_percent",984,,201922181,GE4,1631745603,1631733303,003359863ae28940d074b2f2bc152a12,performance,,"A perda de pacotes da interface GE4 excedeu o valor de 1%",informational,CLOSED,,,low
status,968,,201922181,GE3,1631743504,1631743203,bcee4f37b7b2d9c3e5e5e23a79292505,high,,"Edge 968 entrou em status DEGRADED",high,CLOSED,,,high
status,968,,201922181,GE4,1631743504,1631743203,824fc3a2fcea395325d5330d2224bdee,high,,"Edge 968 entrou em status DEGRADED",high,CLOSED,,,high
linkState,1273,,201922181,GE4,1631742904,1631742603,4d3776b1cfba9c0199f236d5a1dde081,high,,"Link GE4 entrou em status DISCONNECTED",high,CLOSED,,,high
